Reporting week,Italy,EU/EEA
2023-W39,83.7%,73.0%
2023-W38,83.7%,73.0%
2023-W37,83.7%,73.0%
2023-W36,83.7%,73.0%
2023-W35,83.7%,73.0%
2023-W34,83.7%,73.0%
2023-W33,83.7%,73.0%
2023-W32,83.7%,73.0%
2023-W31,83.7%,73.0%
2023-W30,83.7%,73.0%
2023-W29,83.7%,73.0%
2023-W28,83.7%,73.0%
2023-W27,83.7%,73.0%
2023-W26,83.7%,73.0%
2023-W25,83.7%,73.0%
2023-W24,83.7%,73.0%
2023-W23,83.7%,73.0%
2023-W22,83.7%,73.0%
2023-W21,83.7%,73.0%
2023-W20,83.7%,73.0%
2023-W19,83.7%,73.0%
2023-W18,83.7%,73.0%
2023-W17,83.7%,73.0%
2023-W16,83.7%,73.0%
2023-W15,83.7%,73.0%
2023-W14,83.7%,73.0%
2023-W13,83.7%,73.0%
2023-W12,83.7%,73.0%
2023-W11,83.7%,73.0%
2023-W10,83.7%,73.0%
2023-W09,83.7%,73.0%
2023-W08,83.7%,73.0%
2023-W07,83.7%,73.0%
2023-W06,83.7%,73.0%
2023-W05,83.7%,73.0%
2023-W04,83.7%,73.0%
2023-W03,83.7%,73.0%
2023-W02,83.7%,73.0%
2023-W01,83.7%,73.0%
2022-W52,83.7%,73.0%
2022-W51,83.7%,73.0%
2022-W50,83.7%,73.0%
2022-W49,83.7%,73.0%
2022-W48,83.7%,73.0%
2022-W47,83.7%,73.0%
2022-W46,83.7%,73.0%
2022-W45,83.7%,73.0%
2022-W44,83.7%,73.0%
2022-W43,83.7%,73.0%
2022-W42,83.7%,73.0%
2022-W41,83.7%,73.0%
2022-W40,83.7%,73.0%
2022-W39,83.7%,73.0%
2022-W38,83.7%,72.9%
2022-W37,83.7%,72.9%
2022-W36,83.7%,72.9%
2022-W35,83.7%,72.9%
2022-W34,83.7%,72.9%
2022-W33,83.7%,72.9%
2022-W32,83.7%,72.9%
2022-W31,83.7%,72.9%
2022-W30,83.7%,72.9%
2022-W29,83.7%,72.9%
2022-W28,83.7%,72.9%
2022-W27,83.7%,72.9%
2022-W26,83.6%,72.8%
2022-W25,83.6%,72.8%
2022-W24,83.6%,72.8%
2022-W23,83.6%,72.8%
2022-W22,83.6%,72.8%
2022-W21,83.6%,72.8%
2022-W20,83.6%,72.8%
2022-W19,83.6%,72.7%
2022-W18,83.6%,72.7%
2022-W17,83.5%,72.7%
2022-W16,83.5%,72.7%
2022-W15,83.5%,72.6%
2022-W14,83.5%,72.6%
2022-W13,83.4%,72.6%
2022-W12,83.4%,72.5%
2022-W11,83.3%,72.4%
2022-W10,83.2%,72.3%
2022-W09,83.0%,72.2%
2022-W08,82.8%,72.0%
2022-W07,81.8%,71.7%
2022-W06,80.3%,71.3%
2022-W05,78.2%,70.7%
2022-W04,77.4%,70.3%
2022-W03,76.8%,69.9%
2022-W02,76.2%,69.5%
2022-W01,75.6%,69.0%
2021-W52,75.0%,68.4%
2021-W51,74.8%,68.1%
2021-W50,74.5%,67.7%
2021-W49,74.3%,67.2%
2021-W48,74.1%,66.7%
2021-W47,73.8%,66.2%
2021-W46,73.6%,65.8%
2021-W45,73.3%,65.4%
2021-W44,72.8%,65.0%
2021-W43,72.3%,64.6%
2021-W42,71.7%,64.1%
2021-W41,70.9%,63.6%
2021-W40,70.0%,63.1%
2021-W39,69.2%,62.6%
2021-W38,68.0%,61.9%
2021-W37,66.5%,61.0%
2021-W36,64.8%,60.0%
2021-W35,62.9%,58.7%
2021-W34,61.0%,57.2%
2021-W33,59.2%,55.4%
2021-W32,58.0%,53.5%
2021-W31,56.3%,51.4%
2021-W30,53.3%,49.1%
2021-W29,49.3%,46.3%
2021-W28,44.4%,43.1%
2021-W27,38.9%,39.3%
2021-W26,34.0%,35.6%
2021-W25,30.1%,31.9%
2021-W24,26.7%,28.1%
2021-W23,23.8%,24.6%
2021-W22,22.2%,21.2%
2021-W21,20.2%,18.2%
2021-W20,17.4%,15.5%
2021-W19,14.7%,13.1%
2021-W18,12.6%,11.1%
2021-W17,10.7%,9.3%
2021-W16,8.9%,7.9%
2021-W15,7.6%,6.9%
2021-W14,6.7%,6.1%
2021-W13,5.9%,5.4%
2021-W12,5.1%,4.7%
2021-W11,4.3%,4.0%
2021-W10,3.4%,3.5%
2021-W09,2.8%,3.0%
2021-W08,2.4%,2.6%
2021-W07,2.3%,2.2%
2021-W06,2.2%,1.7%
2021-W05,2.0%,1.2%
2021-W04,1.1%,0.6%
2021-W03,0.2%,0.2%
2021-W02,0.0%,0.0%
2021-W01,0.0%,0.0%
2020-W53,0.0%,0.0%
2020-W52,0.0%,0.0%
